DataType,Size,Algorithm,Random_ms,Sorted_ms,Reverse_ms,Half_ms,Nearly_ms,Est
int32,20,"Insertion Sort",0.0065,0.0004,0.0015,0.0008,0.0005,0
int32,20,"Selection Sort",0.0027,0.0009,0.0015,0.0015,0.0008,0
int32,20,"Shell Sort",0.0025,0.0006,0.0008,0.0011,0.0009,0
int32,20,"Quick Sort",0.0200,0.0006,0.0006,0.0013,0.0005,0
int32,20,"Merge Sort",0.0112,0.0138,0.0050,0.0048,0.0049,0
int32,20,"Heap Sort",0.0026,0.0021,0.0016,0.0020,0.0016,0
int32,20,"Tim Sort",0.0012,0.0003,0.0009,0.0006,0.0005,0
int32,20,"Radix Sort",0.0160,0.0085,0.0095,0.0088,0.0084,0
int32,20,"std::sort",0.0036,0.0011,0.0009,0.0013,0.0008,0
int32,20,"Parallel Sort",0.0071,0.0013,0.0011,0.0018,0.0010,0
int32,50,"Insertion Sort",0.0038,0.0005,0.0044,0.0023,0.0013,0
int32,50,"Selection Sort",0.0069,0.0027,0.0037,0.0056,0.0030,0
int32,50,"Shell Sort",0.0045,0.0009,0.0020,0.0031,0.0021,0
int32,50,"Quick Sort",0.0067,0.0013,0.0019,0.0033,0.0030,0
int32,50,"Merge Sort",0.0362,0.0171,0.0216,0.0194,0.0142,0
int32,50,"Heap Sort",0.0077,0.0062,0.0052,0.0063,0.0057,0
int32,50,"Tim Sort",0.0090,0.0043,0.0036,0.0029,0.0022,0
int32,50,"Radix Sort",0.0235,0.0363,0.0130,0.0115,0.0125,0
int32,50,"std::sort",0.0099,0.0029,0.0025,0.0044,0.0033,0
int32,50,"Parallel Sort",0.0084,0.0024,0.0024,0.0049,0.0035,0
int32,100,"Insertion Sort",0.0109,0.0006,0.0156,0.0195,0.0066,0
int32,100,"Selection Sort",0.0252,0.0135,0.0156,0.0176,0.0141,0
int32,100,"Shell Sort",0.0106,0.0018,0.0042,0.0087,0.0067,0
int32,100,"Quick Sort",0.0088,0.0017,0.0030,0.0068,0.0028,0
int32,100,"Merge Sort",0.0406,0.0254,0.0238,0.0255,0.0246,0
int32,100,"Heap Sort",0.0159,0.0138,0.0112,0.0138,0.0132,0
int32,100,"Tim Sort",0.0426,0.0071,0.0103,0.0101,0.0077,0
int32,100,"Radix Sort",0.0280,0.0169,0.0129,0.0127,0.0129,0
int32,100,"std::sort",0.0125,0.0054,0.0033,0.0082,0.0054,0
int32,100,"Parallel Sort",0.0108,0.0036,0.0028,0.0078,0.0051,0
int32,500,"Insertion Sort",0.1477,0.0018,0.2982,0.1146,0.0372,0
int32,500,"Selection Sort",0.3257,0.3150,0.2385,0.2624,0.2692,0
int32,500,"Shell Sort",0.0732,0.0102,0.0198,0.0638,0.0522,0
int32,500,"Quick Sort",0.0502,0.0065,0.0129,0.0389,0.0190,0
int32,500,"Merge Sort",0.2035,0.1322,0.1282,0.1385,0.2692,0
int32,500,"Heap Sort",0.1047,0.0884,0.0784,0.0802,0.0824,0
int32,500,"Tim Sort",0.0892,0.0323,0.0480,0.0757,0.0396,0
int32,500,"Radix Sort",0.0797,0.0489,0.0491,0.0515,0.0483,0
int32,500,"std::sort",0.0653,0.0244,0.0205,0.0567,0.0374,0
int32,500,"Parallel Sort",0.0709,0.0242,0.0207,0.0594,0.0773,0
int32,1000,"Insertion Sort",0.6824,0.0034,1.3456,0.5063,0.1642,0
int32,1000,"Selection Sort",1.1198,1.0309,0.9228,0.8887,0.7354,0
int32,1000,"Shell Sort",0.2443,0.0206,0.0357,0.1287,0.1066,0
int32,1000,"Quick Sort",0.0950,0.0140,0.0243,0.0803,0.0351,0
int32,1000,"Merge Sort",0.3921,0.2236,0.2442,0.3071,0.2663,0
int32,1000,"Heap Sort",0.2219,0.2068,0.1835,0.2155,0.2100,0
int32,1000,"Tim Sort",0.1586,0.0459,0.0799,0.1010,0.0880,0
int32,1000,"Radix Sort",0.1335,0.0972,0.0951,0.0945,0.1054,0
int32,1000,"std::sort",0.1641,0.0600,0.0477,0.1061,0.0615,0
int32,1000,"Parallel Sort",0.1352,0.0374,0.0319,0.0999,0.0601,0
int32,5000,"Insertion Sort",14.7747,0.0193,29.1941,9.9694,3.1192,0
int32,5000,"Selection Sort",21.6841,19.4625,19.9066,18.7076,18.1557,0
int32,5000,"Shell Sort",0.8736,0.1186,0.1974,0.7880,0.7396,0
int32,5000,"Quick Sort",0.7091,0.0949,0.1894,0.5037,0.2298,0
int32,5000,"Merge Sort",2.4296,1.2458,1.3173,1.6905,1.6405,0
int32,5000,"Heap Sort",1.3850,1.1438,1.0131,1.1405,0.9675,0
int32,5000,"Tim Sort",0.9942,0.3118,0.4782,0.7832,0.7860,0
int32,5000,"Radix Sort",0.5910,0.3582,0.3451,0.3176,0.2965,0
int32,5000,"std::sort",0.7564,0.2998,0.1922,0.6446,0.3405,0
int32,5000,"Parallel Sort",7.5814,5.3521,5.4474,4.8294,7.2789,0
int32,10000,"Insertion Sort",51.2353,0.0279,104.2200,41.5039,14.3897,0
int32,10000,"Selection Sort",83.8226,71.7440,79.3524,73.2725,73.2515,0
int32,10000,"Shell Sort",1.8274,0.2355,0.4653,2.5758,2.1595,0
int32,10000,"Quick Sort",1.6556,0.1562,0.2645,1.7388,0.4430,0
int32,10000,"Merge Sort",6.1234,2.7538,4.4720,3.7044,3.0979,0
int32,10000,"Heap Sort",2.7043,2.4209,2.5794,2.4885,2.0390,0
int32,10000,"Tim Sort",2.1257,0.7997,1.0294,1.3747,1.5158,0
int32,10000,"Radix Sort",0.7811,0.6315,0.9407,0.6805,1.2591,0
int32,10000,"std::sort",1.5150,0.5440,0.4100,1.5380,0.9552,0
int32,10000,"Parallel Sort",7.3893,6.5807,7.3937,6.8961,7.6831,0
int32,50000,"Insertion Sort",1280.8825,0.6975,2605.5000,1037.5975,359.7425,1
int32,50000,"Selection Sort",2095.5650,1793.6000,1983.8100,1831.8125,1831.2875,1
int32,50000,"Shell Sort",12.1051,1.1680,6.6518,10.6576,9.7609,0
int32,50000,"Quick Sort",7.6812,0.8269,1.6913,6.3144,2.3510,0
int32,50000,"Merge Sort",25.7460,12.7606,14.0241,19.6549,17.5818,0
int32,50000,"Heap Sort",14.9384,10.8053,10.1093,13.1525,11.4855,0
int32,50000,"Tim Sort",14.2638,3.7458,5.8817,8.4553,7.4427,0
int32,50000,"Radix Sort",3.6607,3.7185,2.9748,3.2707,3.7527,0
int32,50000,"std::sort",9.4192,2.8192,2.1975,7.7581,4.2864,0
int32,50000,"Parallel Sort",10.4986,8.5146,7.3431,9.2728,6.8280,0
int32,100000,"Insertion Sort",5123.5300,2.7900,10422.0000,4150.3900,1438.9700,1
int32,100000,"Selection Sort",8382.2600,7174.4000,7935.2400,7327.2500,7325.1500,1
int32,100000,"Shell Sort",31.8499,2.3531,22.8927,24.7973,20.6808,0
int32,100000,"Quick Sort",15.9323,1.7074,3.9547,12.7212,4.9779,0
int32,100000,"Merge Sort",52.1234,27.6563,28.7943,37.1386,34.9855,0
int32,100000,"Heap Sort",35.1582,20.9415,20.4261,27.8155,24.3662,0
int32,100000,"Tim Sort",29.8392,8.3143,12.4670,21.3271,16.4717,0
int32,100000,"Radix Sort",18.0810,5.8819,5.8052,6.3691,6.0351,0
int32,100000,"std::sort",19.9230,6.2952,4.7620,16.9917,8.6711,0
int32,100000,"Parallel Sort",13.8255,7.2835,6.7827,9.6029,8.9776,0
int32,500000,"Insertion Sort",128088.2500,69.7500,260550.0000,103759.7500,35974.2500,1
int32,500000,"Selection Sort",209556.5000,179360.0000,198381.0000,183181.2500,183128.7500,1
int32,500000,"Shell Sort",348.8252,13.7459,532.6403,284.1204,154.5288,0
int32,500000,"Quick Sort",95.9265,9.2463,18.1712,76.1811,29.5543,0
int32,500000,"Merge Sort",268.1814,148.9009,169.8624,213.5415,204.0584,0
int32,500000,"Heap Sort",187.6587,127.5331,119.2698,167.3559,141.3917,0
int32,500000,"Tim Sort",164.5259,63.2348,70.8213,107.8319,102.2287,0
int32,500000,"Radix Sort",43.9167,28.8220,36.6305,41.4687,39.7472,0
int32,500000,"std::sort",118.6791,44.5145,28.0650,97.4440,56.0147,0
int32,500000,"Parallel Sort",37.0406,15.5626,13.1149,25.9099,22.0161,0
int32,1000000,"Insertion Sort",512353.0000,279.0000,1042200.0000,415039.0000,143897.0000,1
int32,1000000,"Selection Sort",838226.0000,717440.0000,793524.0000,732725.0000,732515.0000,1
int32,1000000,"Shell Sort",1277.8294,24.9453,2084.9746,954.7936,468.9514,0
int32,1000000,"Quick Sort",185.2867,21.2440,42.4172,156.8929,57.4254,0
int32,1000000,"Merge Sort",565.1173,295.0523,326.8480,419.0099,387.0594,0
int32,1000000,"Heap Sort",411.3432,265.0340,241.5828,344.9697,289.1625,0
int32,1000000,"Tim Sort",347.5265,103.9946,158.8813,225.2344,194.1480,0
int32,1000000,"Radix Sort",84.6071,58.7142,74.9449,68.6087,65.4580,0
int32,1000000,"std::sort",240.2820,86.4305,58.7284,205.7680,106.2235,0
int32,1000000,"Parallel Sort",81.8520,25.4847,23.8403,48.9694,50.2063,0
int32,5000000,"Insertion Sort",12808825.0000,6975.0000,26055000.0000,10375975.0000,3597425.0000,1
int32,5000000,"Selection Sort",20955650.0000,17936000.0000,19838100.0000,18318125.0000,18312875.0000,1
int32,5000000,"Shell Sort",34154.6281,122.4904,65346.2091,26021.6823,8114.6310,0
int32,5000000,"Quick Sort",1052.2513,129.9057,208.0895,869.2500,323.3423,0
int32,5000000,"Merge Sort",3275.8068,1492.6105,1749.0768,2531.3242,2163.2778,0
int32,5000000,"Heap Sort",2415.7101,1376.0937,1352.0563,2027.5669,1662.3312,0
int32,5000000,"Tim Sort",1962.0044,591.8201,874.4426,1308.2512,1326.2361,0
int32,5000000,"Radix Sort",370.2897,341.5343,310.2459,339.1381,318.8927,0
int32,5000000,"std::sort",1294.7842,451.0616,312.8814,1103.8502,594.4415,0
int32,5000000,"Parallel Sort",368.7022,115.5317,124.8180,283.0196,255.0357,0
int32,10000000,"Insertion Sort",51235300.0000,27900.0000,104220000.0000,41503900.0000,14389700.0000,1
int32,10000000,"Selection Sort",83822600.0000,71744000.0000,79352400.0000,73272500.0000,73251500.0000,1
int32,10000000,"Shell Sort",272672.8642,240.4559,285202.4149,107471.2119,25662.3696,0
int32,10000000,"Quick Sort",808.2028,97.3128,170.4420,686.4457,258.9741,0
int32,10000000,"Merge Sort",2379.5233,1171.4822,1344.0629,1799.4805,1670.9813,0
int32,10000000,"Heap Sort",2536.9871,1120.7039,1120.0243,1905.8663,1510.8133,0
int32,10000000,"Tim Sort",1607.9518,491.4686,699.3744,1065.9059,948.8469,0
int32,10000000,"Radix Sort",305.8979,264.0125,263.3496,289.6796,274.5741,0
int32,10000000,"std::sort",989.6732,344.3162,256.9072,894.1201,476.2366,0
int32,10000000,"Parallel Sort",185.3915,62.5820,58.2965,156.9229,125.0708,0
char,20,"Insertion Sort",0.0007,0.0001,0.0004,0.0003,0.0002,0
char,20,"Selection Sort",0.0032,0.0010,0.0020,0.0020,0.0010,0
char,20,"Shell Sort",0.0036,0.0008,0.0010,0.0013,0.0008,0
char,20,"Quick Sort",0.0010,0.0003,0.0003,0.0005,0.0003,0
char,20,"Merge Sort",0.0041,0.0019,0.0018,0.0018,0.0019,0
char,20,"Heap Sort",0.0011,0.0008,0.0007,0.0007,0.0007,0
char,20,"Tim Sort",0.0022,0.0002,0.0008,0.0004,0.0002,0
char,20,"Counting Sort",0.0012,0.0005,0.0004,0.0004,0.0004,0
char,20,"std::sort",0.0015,0.0004,0.0004,0.0006,0.0003,0
char,20,"Parallel Sort",0.0007,0.0003,0.0004,0.0006,0.0004,0
char,50,"Insertion Sort",0.0027,0.0003,0.0020,0.0010,0.0006,0
